"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","claim returns 204 when queue is empty()","","2026-07-11","passed","2026-07-11","","com.jdbridge.unit.QueueClaimTest","com.jdbridge.unit.QueueClaimTest","claim returns 204 when queue is empty"
"","0","Default values should be correct","","2026-07-11","passed","2026-07-11","","JDState Immutability Tests","com.jd.pipeline.state.JDStateTest$ImmutabilityTests","testDefaultValues"
"","2","serialized status uses value string not name()","","2026-07-11","passed","2026-07-11","","com.jdbridge.unit.JobStatusValuesTest","com.jdbridge.unit.JobStatusValuesTest","serialized status uses value string not name"
"","3","returns error when the LLM returns an empty partition","","2026-07-11","passed","2026-07-11","","GapAnalysisNodeTest","com.jd.pipeline.nodes.tailor.GapAnalysisNodeTest","errorWhenEmptyPartition"
"","1","Test formatScoredJobsTable shows URL when within column width","","2026-07-11","passed","2026-07-11","","FormatScoredJobsTable Tests","com.jd.pipeline.utils.JobFormatterTest$FormatScoredJobsTableTests","testUrlWithinWidth"
"","1","recruiter response required()","","2026-07-11","passed","2026-07-11","","com.jd.pipeline.pipeline.TerminalLabelTest","com.jd.pipeline.pipeline.TerminalLabelTest","recruiter response required"
"","1","notification format: company with no industry suffix is still extracted","","2026-07-11","passed","2026-07-11","","expand — plain text fallback","com.jd.pipeline.nodes.scan.digest.JobrightDigestStrategyTest$ExpandPlainText","notificationFormatNoIndustrySuffix"
"","0","Test formatScoredJobsTable right-aligns fit column","","2026-07-11","passed","2026-07-11","","FormatScoredJobsTable Tests","com.jd.pipeline.utils.JobFormatterTest$FormatScoredJobsTableTests","testFitRightAligned"
"","1","optional fields are absent from JSON when null()","","2026-07-11","passed","2026-07-11","","com.jdbridge.unit.SubmitJobRequestSerializationTest","com.jdbridge.unit.SubmitJobRequestSerializationTest","optional fields are absent from JSON when null"
"","1","single recording appears in summary","","2026-07-11","passed","2026-07-11","","record and summary","com.jd.pipeline.utils.NodeTimerTest$RecordAndSummary","singleRecording"
"","13","multiple node failures are all recorded","","2026-07-11","passed","2026-07-11","","content-node failures are non-fatal (report still produced)","com.jd.pipeline.nodes.ResumeTailoringSubgraphProcessTest$RobustnessNonFatal","multipleFailuresRecorded"
"","8","JdRequirements tolerates missing fields and unknown extras","","2026-07-11","passed","2026-07-11","","TailorModelsTest","com.jd.pipeline.nodes.tailor.TailorModelsTest","jdRequirementsSparse"
"","2","testFlag()","","2026-07-11","passed","2026-07-11","","CommandParserTest","com.jd.pipeline.cli.CommandParserTest","testFlag"
"","0","strips trailing punctuation","","2026-07-11","passed","2026-07-11","","cleanUrl","com.jd.pipeline.nodes.scan.digest.DigestParseHelpersTest$CleanUrl","stripsTrailingPunctuation"
"","2","writeMetadata should create metadata.json with all fields","","2026-07-11","passed","2026-07-11","","MetadataUtilsTest","com.jd.pipeline.utils.MetadataUtilsTest","testWriteMetadataCreatesJsonFile"
